Sigle/Acronyme,Définition,Note
2CA-SH,"Certificat Complémentaire pour l'Adaptation et la Scolarisation des élèves Handicapés (2nd degré).",[cite: 32, 33]
A2RNE,Accessibilité et Adaptabilité des Ressources Numériques pour l'École.,[cite: 35, 36]
AA,Arts Appliqués.,[cite: 37, 38]
AAC,Attaché d'Administration Centrale.,Remplacé par AAENES [cite: 39, 40, 41]
AAE,Attachés d'Administration de l'État.,[cite: 42, 43]
AAENES,Attachés d'Administration de l'Éducation Nationale et de l'Enseignement Supérieur.,Remplace AASU [cite: 44, 45, 46, 47, 48]
AAF,Annuaire Académique Fédérateur.,[cite: 49, 50, 51]
AAHC,Attaché d'Administration Hors Classe.,[cite: 52, 53]
AASU,Attaché d'Administration Scolaire et Universitaire.,Remplacé par AAENES [cite: 55, 56, 57]
AC@R,"Points d'Accueil, Conseil, Accompagnement, Ressources.",[cite: 58, 59]
ACER,Australian Council for Educational Research.,[cite: 60, 61]
ACL,Access Control List.,[cite: 62, 63, 64]
ACMO-HST,Agent Chargé de la Mise en Oeuvre des règles d'Hygiène et de Sécurité du Travail.,[cite: 67, 68]
ACSE,Agence nationale pour la Cohésion Sociale et l'Égalité des chances.,[cite: 69, 70]
ADESCO,Application académique pour Absentéisme & DEcrochage SCOlaire.,[cite: 71, 72, 73]
ADJAENES,ADJoint Administratif de l'Education Nationale et de l'Enseignement Supérieur.,[cite: 74, 75]
ADM,ADMinistratifs.,[cite: 76, 77]
ADSI,ADministrateur des Systèmes d'Information.,[cite: 78, 79, 80]
AE,Accompagnement Educatif.,[cite: 82, 83]
AED,Assistant d'Éducation.,[cite: 84, 85]
AELIS,Acquis des ÉLÈVEs dans le Livret personnel de compétenceS.,[cite: 86, 87]
AESH,Accompagnant d'Élèves en Situation de Handicap.,Remplace AVS en 2014 [cite: 88, 89, 90]
AFFELNET,AFFectation des Élèves par le NET.,[cite: 95, 96]
AFFTZR,AFFectation des TZR.,[cite: 97, 98]
AGAPE,Aide à la Gestion Automatisée des Professeurs des Écoles.,[cite: 99, 100]
AGEBNET,Application de Gestion des Bourses Nationales par le NET.,[cite: 103, 104]
AGESH,Application de Gestion des Élèves en Situation de Handicap.,Remplace GANESH en 2021 [cite: 106, 107, 108]
AGORA,Aide à la Gestion Optimisée des Ressources ATOS.,[cite: 109, 110]
AGREMEPS,AGRÉMent des intervenants extérieurs en EPS.,[cite: 111, 112]
AGREP,Aide à la Gestion du Remplacement en Éducation Prioritaire.,[cite: 113, 114]
AGRIATES,Accès Généralisé aux Réseaux INtranet Académiques et Territoriaux pour les Établissements Scolaires.,[cite: 115, 116]
AIDOP,Affichage d'Informations à Destination des Organisations Professionnelles.,[cite: 119, 120]
AIP,Aide à l'Installation des Personnels.,[cite: 121, 122]
AIS,Adaptation et Intégration Scolaires.,[cite: 123, 124]
AMEX,Gestion et suivi des demandes d'AMénagement d'Examen.,[cite: 125, 126, 127]
AMOA,Assistance (ou assistant) à Maîtrise d'OuvrAge.,[cite: 128, 129, 130]
AMOE,Assistance (ou assistant) à Maîtrise d'OEuvre.,[cite: 133, 134]
ANACAD,ANnuaire des personnels ACADémiques.,[cite: 135, 136]
ANACAD-EТАВ,ANnuaire de l'ACADémie - pour les ÉTABblissements.,[cite: 137, 138]
ANDREA,Accès Numerisé aux Documents de Relevé de notes Et Attestation de réussite.,[cite: 139, 140]
ANSSI,Agence Nationale de la Sécurité des Systèmes d'Information.,[cite: 142, 143]
AP,Accompagnement Personnalisé.,[cite: 144, 145]
APA,Attaché Principal d'Administration.,[cite: 146, 147]
APC,Activité Pédagogique Complémentaire.,Remplace APE depuis 2014 [cite: 148, 149, 150, 151]
APE,Aide Personnalisée aux Élèves.,Remplacé par APL en 2014 [cite: 152, 153, 154]
API,Application Programming Interface.,[cite: 155, 156]
APPE,Allocations Pour la Perte d'Emploi.,[cite: 157, 158]
APS,Assistant chargé de Prévention et de Sécurité.,[cite: 159, 160]
APV,Affectation Prioritaire à Valoriser.,Disparu en 2015 [cite: 161, 162, 163]
AQSSI,Autorité Qualifiée en Sécurité des Systèmes d'Information.,[cite: 164, 165]
ARA,Auvergne-Rhône-Alpes.,Parfois écrit AURA [cite: 166, 167, 168]
ARE,Activités de Responsabilité Établissement.,[cite: 169, 170]
ARENA,Accès aux Ressources de l'Éducation Nationale et Académiques.,[cite: 172, 174, 176]
ASIE,Aide à la Saisie des Indemnités en Établissement.,[cite: 173, 175, 177]
ASPETL,Application de Saisie des Paramètres ETL.,[cite: 180]
ARPEJEH,Accompagner la Réalisation des Projets d'Études de Jeunes Élèves étudiants Handicapés.,[cite: 181, 182]
ARV,Administration de Réseaux Virtuels.,[cite: 183, 184]
ASAE,Application de Suivi des Assistants d'Éducation.,[cite: 187, 188]
ASAP,Assistant Social Personnel.,[cite: 189, 190]
